timestamp,symbol,side,size,price,tickDirection,trdMatchID,grossValue,homeNotional,foreignNotional,trdType
2024-11-06D00:00:05.367909144,ETHUSD,Buy,3,2423.63,PlusTick,00000000-006d-1000-0000-000d7e3ea4be,727089,0.2080444,504.2226,Regular
2024-11-06D00:00:17.958375199,ETHUSD,Buy,9,2423.32,MinusTick,00000000-006d-1000-0000-000d7e3f3329,2180988,0.6241331,1512.474,Regular
2024-11-06D00:00:17.959349589,ETHUSD,Buy,8,2423.32,ZeroMinusTick,00000000-006d-1000-0000-000d7e3f333a,1938656,0.554785,1344.422,Regular
2024-11-06D00:00:27.416737808,ETHUSD,Sell,12,2422.69,MinusTick,00000000-006d-1000-0000-000d7e3f9ffe,2907228,0.8321775,2016.108,Regular
2024-11-06D00:00:27.703725067,ETHUSD,Sell,7,2422.94,PlusTick,00000000-006d-1000-0000-000d7e3fa47f,1696058,0.4854369,1176.184,Regular
2024-11-06D00:00:28.408233538,ETHUSD,Sell,3,2422.97,PlusTick,00000000-006d-1000-0000-000d7e3fae2f,726891,0.2080444,504.0853,Regular
2024-11-06D00:00:28.408233538,ETHUSD,Sell,2,2422.96,MinusTick,00000000-006d-1000-0000-000d7e3fae32,484592,0.1386963,336.0555,Regular
2024-11-06D00:00:28.665419980,ETHUSD,Sell,7,2422.96,ZeroMinusTick,00000000-006d-1000-0000-000d7e3fafbc,1696072,0.4854369,1176.194,Regular
2024-11-06D00:00:30.173490405,ETHUSD,Sell,3,2422.97,PlusTick,00000000-006d-1000-0000-000d7e3fb9a2,726891,0.2080444,504.0853,Regular
2024-11-06D00:00:30.173490405,ETHUSD,Sell,2,2422.93,MinusTick,00000000-006d-1000-0000-000d7e3fb9a5,484586,0.1386963,336.0513,Regular
2024-11-06D00:00:32.451176922,ETHUSD,Buy,5,2422.9,MinusTick,00000000-006d-1000-0000-000d7e3fce9d,1211450,0.3467406,840.1179,Regular
2024-11-06D00:00:48.506720330,ETHUSD,Buy,1,2424.26,PlusTick,00000000-006d-1000-0000-000d7e406520,242426,0.06934813,168.1179,Regular
2024-11-06D00:00:48.506720330,ETHUSD,Buy,3,2424.27,PlusTick,00000000-006d-1000-0000-000d7e406523,727281,0.2080444,504.3558,Regular
